Nom,distinction reçue,fonction,occupation,pays de nationalité,Né le,Décédé le
Jean-Baptiste Othon Péconnet,chevalier de la Légion d'honneur‎,maire de Limoges,politicien,France,15 janvier 1830,23 mai 1871
Marc de Lassus,,député français,personnalité politique,France,6 décembre 1829,19 août 1897
Alphonse Picart,,député français,personnalité politique,France,8 novembre 1829,20 mai 1884
Adrien Joseph Prax-Paris,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,2 octobre 1829,22 septembre 1909
Léon Bonnel,,député français,personnalité politique,France,24 août 1829,18 janvier 1880
Auguste de Brettes-Thurin,,député français,personnalité politique,France,24 août 1829,
Ambroise Jules Joubert-Bonnaire,,député de Maine-et-Loire,industriel,France,20 août 1829,24 décembre 1890
Henri-Frédéric Lévêque,,député français,personnalité politique,France,8 août 1829,24 janvier 1910
Jean Ernoul,commandeur de l'ordre de ST-Grégoire-le-Grand,député français,personnalité politique,France,5 août 1829,5 septembre 1899
Francisque Reymond,officier de la Légion d'honneur,député français,personnalité politique,France,15 mai 1829,1er juin 1905
Roger-Léon Anisson-Duperron,,député de la Seine-Maritime,personnalité politique,France,27 avril 1829,23 juin 1908
Léonce de Guiraud,,député français,personnalité politique,France,23 mars 1829,28 juillet 1873
Alexis Lambert,,député français,personnalité politique,France,30 janvier 1829,22 janvier 1877
Joseph Prosper André,officier de la Légion d'honneur,député français,personnalité politique,France,17 janvier 1829,14 juillet 1883
Agénor Bardoux,,sénateur inamovible,personnalité politique,France,15 janvier 1829,23 novembre 1897
Augustin Tardieu,,député français,politicien,France,23 décembre 1828,16 avril 1883
Joachim Murat,officier de la Légion d'honneur,député du Lot,personnalité politique,France,12 décembre 1828,13 mars 1904
Jean-Marie Georges Girard de Soubeyran,officier de la Légion d'honneur,député de la Vienne,Homme politique,France,3 novembre 1828,2 février 1897
Pierre Lanfrey,,ambassadeur de France en Suisse,personnalité politique,FR,26 octobre 1828,15 novembre 1877
François Merveilleux du Vignaux,,,agronome,France,22 octobre 1828,4 mai 1914
Émile Keller,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,8 octobre 1828,20 février 1909
Charles Floquet,,député français,personnalité politique,France,2 octobre 1828,18 janvier 1896
René Goblet,,député français,personnalité politique,France,26 septembre 1828,13 septembre 1905
Jules Rathier,,député de l'Yonne,politicien,France,7 septembre 1828,1er octobre 1887
Jean-Baptiste Billot,grand-croix de la Légion d'honneur‎,sénateur inamovible,politicien,France,15 août 1828,31 mai 1907
Julien Melsheim,,député français,personnalité politique,France,12 août 1828,7 février 1901
Henri Tolain,,député français,personnalité politique,France,18 juin 1828,3 mai 1897
Amable Ricard,,sénateur inamovible,personnalité politique,France,12 juin 1828,11 mai 1876
Anselme Batbie,chevalier de la Légion d'honneur‎,député français,avocat ou avocate,France,31 mai 1828,12 juin 1887
César-Auguste Ginoux-Defermon,chevalier de la Légion d'honneur‎,député de la Loire-Atlantique,personnalité politique,France,20 avril 1828,21 mai 1889
Louis Godet de La Ribouillerie,,député de la Vendée,personnalité politique,France,4 avril 1828,5 janvier 1900
Émile de Marcère,,député français,Homme politique,France,16 mars 1828,26 avril 1918
Édouard Rencker,chevalier de la Légion d'honneur‎,député du Haut-Rhin,personnalité politique,France,24 décembre 1827,19 janvier 1888
Jean-Baptiste Alexandre Damaze de Chaudordy,commandeur de la Légion d'honneur‎,député français,personnalité politique,France,4 décembre 1827,26 mars 1899
Charles Lambert de Sainte-Croix,,député français,personnalité politique,France,12 novembre 1827,27 octobre 1889
Joseph Philippe,,député français,personnalité politique,duché de Savoie,30 octobre 1827,24 mars 1888
Philippe de Bourgoing La Beaume,commandeur de la Légion d'honneur‎,député de la Nièvre,personnalité politique,France,22 octobre 1827,20 avril 1882
Charles Guinot,,député d'Indre-et-Loire,personnalité politique,France,17 octobre 1827,20 décembre 1893
Arthur de La Borderie,,député d'Ille-et-Vilaine,personnalité politique,FR,5 octobre 1827,17 février 1901
Pierre Tirard,,sénateur inamovible,personnalité politique,France,27 septembre 1827,4 novembre 1893
Jean-Hubert Bouché,,député français,personnalité politique,France,4 septembre 1827,28 avril 1915
Albert Dauphin,commandeur de la Légion d'honneur‎,député de la Somme,personnalité politique,France,23 août 1827,14 novembre 1898
Charles d'Osmoy,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,19 août 1827,7 décembre 1894
Octave-Joseph d'Hespel,,député français,personnalité politique,France,11 août 1827,20 avril 1885
Adrien Léon,chevalier de la Légion d'honneur‎,député de la Gironde,personnalité politique,France,4 août 1827,15 octobre 1896
